"Group","X1","X2","X3"
"1",1,49,47,57
"2",1,58,49,55
"3",1,50,50,45
"4",1,47,51,58
"5",1,67,52,57
"6",1,47,48,43
"7",1,45,47,39
"8",1,57,61,38
"9",1,63,43,51
"10",1,56,44,48
"11",1,57,48,36
"12",1,62,59,46
"13",1,45,45,33
"14",1,59,60,39
"15",1,50,52,48
"16",1,42,51,40
"17",1,30,49,40
"18",1,56,43,52
"19",1,60,39,44
"20",1,49,50,55
"21",1,43,49,55
"22",1,45,62,55
"23",1,47,47,52
"24",1,54,54,41
"25",1,55,51,45
"26",1,37,55,40
"27",1,52,43,45
"28",1,56,56,47
"29",1,40,51,51
"30",1,56,51,50
"31",1,65,48,33
"32",1,42,53,48
"33",1,49,60,56
"34",1,59,56,61
"35",1,51,48,49
"36",1,55,50,53
"37",1,48,39,51
"38",1,42,66,43
"39",1,42,52,51
"40",1,31,41,50
"41",1,57,43,52
"42",1,49,42,63
"43",1,45,58,50
"44",1,53,64,51
"45",1,53,53,42
"46",1,58,37,46
"47",1,46,48,48
"48",1,52,33,58
"49",1,55,51,45
"50",1,54,50,56
"51",1,32,55,57
"52",1,55,45,44
"53",1,46,43,58
"54",1,66,56,44
"55",1,47,47,55
"56",1,50,51,55
"57",1,51,43,55
"58",1,51,47,47
"59",1,41,65,51
"60",1,54,46,56
"61",1,52,48,44
"62",1,45,39,41
"63",1,62,53,62
"64",1,57,51,43
"65",1,46,49,43
"66",1,45,51,53
"67",1,65,56,49
"68",1,52,52,55
"69",1,42,46,49
"70",1,41,40,52
"71",1,35,49,51
"72",1,57,32,50
"73",1,60,54,45
"74",1,63,56,51
"75",1,51,48,45
"76",1,44,50,51
"77",1,36,63,62
"78",1,38,40,55
"79",1,54,53,47
"80",1,60,56,58
"81",1,45,43,44
"82",1,44,59,40
"83",1,60,44,41
"84",1,40,52,48
"85",1,55,53,47
"86",1,56,64,52
"87",1,44,50,42
"88",1,62,53,53
"89",1,56,50,44
"90",1,38,46,50
"91",1,37,45,54
"92",1,50,50,52
"93",1,36,44,53
"94",1,52,49,40
"95",1,45,27,43
"96",1,58,46,46
"97",1,48,46,44
"98",1,51,57,49
"99",1,44,50,46
"100",1,52,47,44
"101",2,47,48,69
"102",2,32,48,49
"103",2,35,40,65
"104",2,35,39,68
"105",2,48,65,61
"106",2,39,59,68
"107",2,34,43,59
"108",2,31,50,67
"109",2,51,61,58
"110",2,43,42,54
"111",2,33,40,58
"112",2,48,49,68
"113",2,35,47,65
"114",2,48,44,49
"115",2,27,60,55
"116",2,47,51,74
"117",2,45,44,66
"118",2,36,43,59
"119",2,40,45,60
"120",2,40,54,51
"121",2,39,62,61
"122",2,49,43,68
"123",2,46,42,59
"124",2,42,52,61
"125",2,36,54,50
"126",2,38,50,54
"127",2,32,49,50
"128",2,36,38,62
"129",2,39,42,90
"130",2,36,64,60
"131",2,45,51,63
"132",2,41,49,72
"133",2,29,51,56
"134",2,44,58,60
"135",2,43,60,68
"136",2,38,52,70
"137",2,51,57,69
"138",2,47,49,67
"139",2,44,53,62
"140",2,45,58,74
"141",2,46,75,75
"142",2,47,49,70
"143",2,34,45,58
"144",2,39,54,51
"145",2,53,45,60
"146",2,39,52,55
"147",2,38,59,55
"148",2,36,43,54
"149",2,43,50,67
"150",2,40,42,65
"151",2,36,43,60
"152",2,53,40,76
"153",2,35,54,59
"154",2,43,46,70
"155",2,43,61,72
"156",2,47,49,61
"157",2,33,47,72
"158",2,38,45,58
"159",2,40,40,66
"160",2,37,56,58
"161",2,38,43,62
"162",2,33,49,70
"163",2,52,40,73
"164",2,54,44,51
"165",2,25,57,60
"166",2,38,44,61
"167",2,38,35,60
"168",2,44,45,55
"169",2,48,44,52
"170",2,29,45,65
"171",2,43,62,71
"172",2,41,57,57
"173",2,40,50,71
"174",2,36,45,69
"175",2,48,49,60
"176",2,38,35,60
"177",2,44,39,66
"178",2,41,55,58
"179",2,36,59,58
"180",2,38,58,45
"181",2,45,42,48
"182",2,47,56,62
"183",2,32,47,48
"184",2,35,38,67
"185",2,37,51,55
"186",2,39,48,60
"187",2,38,58,64
"188",2,44,46,56
"189",2,42,41,55
"190",2,36,51,61
"191",2,39,64,68
"192",2,37,45,50
"193",2,43,40,64
"194",2,38,60,66
"195",2,29,54,61
"196",2,37,54,53
"197",2,30,52,58
"198",2,41,43,49
"199",2,42,48,56
"200",2,35,47,61
